"logFC","AveExpr","P.Value","hgnc_symbol"
-2.28218786257568,1.35081236524319,0.00162221330948345,"SCN1B"
-2.32765569701614,5.33666297078731,0.0104813464102368,"GRIK5"
2.99794642896908,0.578756427922606,0.0425155609872108,"HOXA6"
2.87547646581452,-3.48467457006008,0.00671667387113432,"HOXA13"
-2.05964462248325,-0.0941572468325785,0.000512114051409694,"SFRP4"
-3.53069059486906,5.69980008043045,0.00438422448377023,"MEST"
-1.54935949501581,-3.71636796675983,0.0045567729758081,"POU6F2"
-1.56812932901347,3.70957359964126,0.0422201668278696,"TSPAN13"
-2.6231754121908,-0.303578917797372,0.00200526616146684,"RARRES2"
-3.61088342736489,-1.73083342494252,0.00598184113409405,"AGR2"
-2.67208531727878,4.35510172831022,0.00538352332223508,"AEBP1"
1.62558332471671,-3.57741905539988,0.0117996870786882,"LHX2"
2.17560860655199,0.786582097135551,0.00251609687875633,"NCS1"
-1.56121916664595,-3.43511181502858,0.0211489636756879,"LHX3"
-1.59918895788036,4.29585999420578,0.00942366206053871,"PIP5K1B"
-1.71682766799072,6.07397178250053,0.0317703779897109,"PDLIM1"
-2.17569890615971,1.7846676554325,0.0153676859744364,"GATA3"
-2.23948794379847,3.57942002991479,0.0100593162433891,"PALD1"
2.28480488852037,7.95885695359219,9.89502370621361e-07,"VSIR"
3.65862673246156,-2.50984428835315,0.000108131332521547,"KRT23"
-1.92716825787678,-2.83555656967153,0.000369949657398343,"CSF3"
-2.24930049844153,-0.774024755260479,0.0280676286918922,"RGS9"
-1.84542485574513,3.60701704278866,0.00018352880971657,"RNF43"
4.29757967084611,-0.217745418367701,0.00151825941691639,"HOXB6"
-1.54130552021728,-1.99681213927694,0.0142529888657974,"SGCA"
-1.9522660956725,-2.72954910199589,0.0324397300147628,"EFNB3"
-1.70480090542264,0.493549132592952,0.00131914968811466,"GNRHR"
-2.88993918690058,-1.10327353971697,0.0431667405844978,"SULT1E1"
-2.96901462317647,3.43356716822997,0.0090520425762185,"CRACD"
-2.34511165119991,-1.38854787365952,0.0118286208443428,"MAPK10"
-2.34221071236249,4.46716806989403,0.0297015772830185,"INPP4B"
2.38965235008698,-3.05491608235251,0.003691247526656,"CPE"
-3.63955071617383,0.459802328566069,0.0449546470309625,"AADAT"
-1.6662906202226,-4.1938338556058,0.00376453401134112,"CPZ"
-1.51046726542054,1.45647392096284,0.0434754891818962,"TRIM2"
1.50195937814647,3.67184091702467,0.00184714387928444,"SLC2A9"
5.18856904259489,-0.670475392745183,1.61568675047891e-06,"PPARGC1A"
-1.65496954608593,-3.72457636522313,0.000390475247372302,"P2RX3"
-2.90851923865063,5.41931998008592,0.00551141757585128,"NRXN2"
1.91132604028733,5.82595440779752,0.0354980135674722,"MS4A6A"
-2.22577981788485,1.52019407234544,0.0324046438595964,"CCND1"
-1.74527403970317,5.90295257634805,0.0194545223308446,"ARHGEF17"
-2.13197952350813,3.98784113157707,0.00943179311138466,"MDK"
-2.34122616012328,6.56898925584518,0.00773538275454326,"CD69"
-1.85234489813366,5.0622397947736,0.00180384460254437,"BCL7A"
-1.50419807554087,5.90934417715098,0.0117014646556687,"OAS3"
-2.34609200366086,7.64231997904311,0.0136832289786849,"SLC38A1"
1.78365791031003,3.70303554014509,0.00129379705082708,"VDR"
-1.72048336355361,0.412412520838689,0.0337774327094387,"ST8SIA1"
-2.17405163973599,4.96910013960948,0.000638134699892391,"DSE"
-2.18633801839788,7.41012784655231,0.0111132541529038,"MAN1A1"
-2.16714872672554,-1.38634458352014,0.00949108067059933,"TPD52L1"
2.80454376938052,-3.3721930799143,0.000125910432927253,"ULBP1"
-1.91053902606285,4.94100249491455,0.019595704420928,"WASF1"
-1.50431097377354,-1.64352883412906,0.0378244331208865,"CCR6"
-2.77501149039044,5.48406567205833,0.00107234537908599,"PTK7"
1.60949456189586,3.75971269823726,0.0480496017998858,"LY86"
-2.07138548833626,1.46367157643891,0.00499806938694944,"GZMK"
-3.63818605380859,-2.21822457804235,0.00254542418822255,"CDH9"
-3.06038430406041,6.17972939588962,0.00450223733851516,"SPARC"
-1.587366108046,-4.65319723434334,0.000705465992082751,"PCDHB6"
-2.10734817129095,-4.29164538841055,1.4493239907806e-07,"PCDHB7"
-2.2170141576026,-3.59846018217947,4.27844373318559e-05,"IL12B"
-3.97996100492057,6.00171367121844,0.0454999916516102,"NPR3"
-1.82918934536546,6.72008258539164,0.000991319344430033,"SLC12A7"
-1.58569787501763,-3.62244794934323,0.00815328082088399,"IL4"
1.762949774572,0.557737515981475,0.0314595816763611,"UNC5A"
-1.70448582569451,4.32345691211773,0.0130140944949578,"CEP70"
2.05358997562687,-3.06773391053758,0.0292355179072921,"C3orf14"
-3.39935394648008,1.18173028941744,0.00954314348538238,"PLCH1"
-1.59171190531174,3.24047152635831,0.00436550746468868,"RTKN"
-1.7329740180117,4.81060375943793,0.0271916063487294,"ZAP70"
-1.52298821713153,-4.03187052671252,0.00281446534898571,"GRB14"
-1.59912142363001,7.89836725601554,0.00124992066504893,"SPTBN1"
2.24187633882157,4.48458581853516,0.000496072198941998,"FN1"
2.8682492032035,0.340160380975735,0.00985115204769892,"IL1R2"
-1.8061198077022,2.47531733382216,0.0441659783066049,"IL18R1"
-3.64255746811797,-1.51592320352257,0.04404730569948,"TPO"
1.80495795410425,1.14598542719714,0.00925010934389593,"PLCL1"
1.5325792515213,0.138740306574712,0.00904998310470687,"SPR"
1.76264529424612,4.91734189905796,0.00297335881044793,"DHCR24"
-1.99369006770101,1.07653632374422,0.0288604166911916,"CHD5"
1.82498150222189,7.10937938070485,1.27388442509413e-07,"QSOX1"
-3.16203416980762,4.07318929469641,0.00277589223631404,"C1orf21"
-2.08393489614828,3.34746251693931,0.00304076592056595,"CD2"
-1.70500237357715,5.35307686311395,0.0184099540220696,"CD48"
3.63459318225257,-0.931498914277053,4.41731377908767e-05,"ADGRL2"
-2.2458619441921,3.08867303295336,0.0185385513212374,"GBP1"
-3.57067962792405,3.99142565416404,0.00373969641526485,"MPL"
1.94701110270044,2.58222212544117,0.0100803891371183,"ARTN"
1.68412978812332,0.0985442536390371,0.0394828506049542,"F3"
-2.43127766827996,-1.11614218143584,0.0108348412194907,"FASLG"
2.54922676948084,3.63952401400041,0.0212266368122191,"HSD11B1"
1.8120079848314,-4.24665927875092,0.00280214229337169,"PROX1"
2.6891455475068,0.272669838684457,0.0105324788965914,"MTARC2"
1.68121021578274,-0.44850415566951,0.030674646581355,"SLC5A9"
1.952867915491,8.1979353715123,1.77950397701061e-06,"CTSD"
2.63090444766342,1.23929805122182,0.025803120611978,"MMP8"
1.58535096270704,1.2891833745179,0.00518749000184484,"CAMSAP2"
-2.73206455366899,-2.15535130448963,0.00889959717165539,"CRYGD"
-1.92039211525212,-3.83325701321785,9.79314593846985e-05,"TTR"
-3.09414915987967,5.78920872115569,0.000234964014052747,"B4GALT6"
-3.61488810972326,-0.850712931052419,0.000626386452395505,"ATP10B"
-1.62002490364043,7.38408581744693,2.98974124585315e-05,"PLAGL1"
-2.1053608159301,0.00475727801066319,0.0293785456206467,"ABCG2"
-1.75943672728792,3.89294465634056,0.0480442269183231,"KLF12"
-3.3813377049097,7.89718202946047,1.12883137126655e-06,"CCND2"
3.5274252375258,0.619334503872229,4.12556108608332e-08,"SATB2"
-2.92361492876069,-1.35523119855264,0.00954033596062914,"TRPM6"
1.60885789703338,4.02071973621423,0.00124728788750134,"KLF9"
4.90312841804971,-2.0260555701677,2.55681111562276e-09,"ONECUT2"
-1.51498129753344,1.99779497341136,0.00208488984602986,"GPR68"
-2.0002172337882,3.01133234034828,0.0195823721371582,"CNRIP1"
-1.88502289348522,6.8240815929202,0.000260522451020326,"BCL11A"
4.20846813478754,-1.49775186131155,0.00557420935484298,"NKX2-3"
2.834693593414,-3.10910195361979,0.00839915815949571,"HOXB8"
4.24402788242932,-0.278650038986902,0.000895186393325464,"HOXB5"
3.44938415936346,4.37416732560866,0.0012329085304383,"HOXB3"
-1.68210003710826,0.53738841929616,0.0183830778614619,"CD274"
2.05151006468019,-0.307124223508757,0.00267865472524231,"CCDC170"
-2.106094377681,-3.28811697330348,0.0034245598563747,"PCDHB12"
2.10572717440806,-1.85703756068996,0.00702724335791625,"SEC16B"
2.10572717440806,-1.85703756068996,0.00702724335791625,"SEC16B"
-3.17911933472817,2.95043689986912,0.0313368110063122,"IQSEC3"
2.82878643307182,5.67298234406463,5.6448361053209e-07,"SCPEP1"
-1.79765994812619,7.35554834100939,0.000249793633058952,"FAM117A"
-2.44830332126607,2.66412402538964,0.000570557685970532,"TRIM6"
-2.67044120062094,-1.54265035736841,0.0391505154780449,"BCL2L14"
-1.82871180106446,4.71185290428983,0.000467669377206227,"ZSCAN18"
1.97725813008824,3.80168369741363,0.00981162612914122,"CSTA"
-1.54488506245833,4.21276617719536,0.00012759555510029,"TMEM156"
-2.20184318728837,5.96806757662075,5.03438890717583e-06,"CD244"
2.73875760591568,-1.97094279949799,0.00809406421205745,"PTGFR"
1.60567064292346,4.68219912430015,3.14568684193427e-05,"ARL4A"
-2.33404193552387,4.55717543361864,0.00650503104976557,"KIAA1549"
-1.54260307439263,-3.73685748353877,0.0268388712941806,"AKR1D1"
-2.07799417817129,-3.2603588605023,0.00125640294865172,"SFTPA1"
2.0657853469954,9.97599578546916,0.000110412280032064,"SRGN"
-1.53962223712493,-3.68366487622886,0.0303469192844483,"ARL4AP1"
-1.65220736201507,1.05065360205027,0.0280739613430749,"SSPN"
-2.73697626746217,0.168661456504972,0.00143876346043449,"GUCY1B2"
2.96879782541943,2.06505973841684,2.75866015214641e-05,"MMP19"
1.69563755871334,6.79337233819716,0.0429296741962759,"LRP1"
1.62767072459058,5.91588660463184,4.93525942513542e-05,"SLC36A1"
3.36401679850375,-1.12715265778056,0.000121011799415057,"KCNJ2"
2.13211422026017,2.30192811451515,0.000323840434574185,"SDC4"
1.51693991795882,3.7954946439914,0.00828562030563052,"IQSEC2"
-1.98404498137936,-0.290849152353081,0.0182142343772814,"IL9R"
-2.43077780907775,-0.704696853457494,0.00362699745672761,"XG"
-2.43077780907775,-0.704696853457494,0.00362699745672761,"XG"
-2.70657589492418,1.92926048891768,0.00568909069617197,"ZNF391"
1.738024623113,-1.2098605859041,0.045049299562287,"MOCS1"
-2.78619892806683,-1.03167362336371,0.0191431802964475,"DNAH8"
1.65750435825395,4.41296677860411,0.0103892125964256,"TREM1"
-1.57466756218366,-0.430765563154843,0.0279324716710182,"KLHL31"
-4.21255722055528,2.50057824698307,0.047122495643779,"KCNK17"
-2.13690770388544,-2.1231355734342,0.0151738109403144,"GCM2"
1.78373758953603,-2.04509925295745,0.0220634890604481,"RAB17"
-1.60229477007129,2.55558992995534,0.0471356410745213,"DOK4"
6.02811934610128,-4.37633216448571,8.29574829325154e-10,"SLC10A2"
-1.65624251812623,8.97122950573499,3.50431048302622e-05,"SEPTIN6"
-1.91558353341919,5.31871320716059,0.00548119703112253,"IL1B"
-2.02638282120755,-1.62067827611641,0.00433883093725424,"PLGLB2"
2.49884671063531,-3.55839242704726,0.00201119502711816,"TGM3"
2.23478184326395,6.43531781892701,3.88631297763361e-05,"CD93"
2.51435036445594,0.321501991413298,0.00188425971606075,"SIRPD"
-2.18209249391007,2.74144696674454,0.00480394982080399,"AMOT"
-2.65240596265796,2.24671598584459,0.00443296502682754,"MCF2L"
-2.82141474319171,-2.93289986140483,0.00341177867073507,"CSN1S1"
-2.78002192405056,3.56596521348166,0.0453614777773628,"AIF1L"
-1.99766815339532,0.260685474751241,0.00361487248073331,"TAS2R3"
-1.63320557311436,1.85671915071005,0.000744135958640549,"TAS2R4"
-1.52737515854788,3.47372636352055,0.00459592941219351,"LRRC61"
-1.75497994742895,-4.56487052188882,6.75725520119003e-06,"PLA2G5"
-3.67614247881702,-0.339889254188268,0.00937638379148996,"ZNF835"
-3.59571625874117,4.47515757863349,0.0232467525313292,"IGLL1"
1.99056886239796,1.86695494071892,1.7461294995793e-05,"STRIP2"
1.58729416593768,2.46228292016276,0.0209677774280937,"CCDC136"
-2.59928196056488,1.81950748924211,0.00760287044496599,"SMO"
-3.89872728205816,4.73463612516177,0.0016336917889346,"MYO5C"
2.0045361204779,-1.96792748986328,0.00441858438960245,"CGNL1"
-2.27906310922721,1.61813263640453,0.0302413917233536,"USP6"
2.04853179969675,1.01223733057482,4.11135041795702e-06,"CD68"
2.12471547926914,3.09511716592848,0.00624684821314988,"SIGLEC9"
1.63390920130666,0.855104291483203,0.0263038226693175,"RNASE1"
-2.61000090180767,2.84487300251268,0.00269233026858164,"CDKN1C"
-2.22627110054493,6.92037139272334,1.50441633498952e-05,"CBFA2T3"
-1.58172571446087,-0.226477474825136,0.0140689419244309,"GALNT8"
-2.82867934600111,-2.58886810702345,0.0190193186245097,"KCNA5"
1.63040788941142,-1.11202805112845,0.00844843691919665,"GADD45G"
1.58176257143112,-1.98567477252052,0.0428642928949982,"KIF1A"
1.93011380069387,0.91827091793026,0.0382331495756873,"TRPM4"
-1.97641256458381,4.44552207631863,0.000621777485168869,"ZBTB46"
-3.13005587707626,1.67318617590746,0.000570119353676543,"CYP2E1"
1.89328843570029,-3.68385604304765,0.0309861156065902,"GATA5"
1.52781579523486,-3.18337016614495,0.00830706257661503,"PRDM12"
-1.59797484045228,-0.777633002206964,0.0356421084831808,"ARHGEF16"
-1.51746221650278,2.16212632229912,0.0431412523179928,"SMPDL3B"
3.01321271260365,-3.58480634996435,2.18827690410206e-05,"ULBP2"
1.95913914306249,-2.00172692862357,0.00953737594205688,"ULBP3"
3.79184540918507,-3.39401065472872,3.65445291340065e-07,"C1QL1"
-1.74542643111468,-4.55629327327136,1.07331386967686e-06,"PYY"
-2.33843073830401,-2.36961636146265,0.00778249230906711,"CCL25"
2.36410216175463,1.11597357808109,0.00454575304538986,"KCNC3"
-1.62947160915469,-2.62187433288938,0.0327232437818948,"G6PC"
-1.65603365308969,2.03435070989869,0.0163439141836692,"TMEM204"
1.5221933119964,5.37970776099762,0.0182386688563481,"IL13RA1"
-1.51109509253884,2.20515293599293,0.000207039426576288,"CKMT2"
-1.69185762526798,-2.56989641178254,0.0482041203615894,"KRT17P1"
4.24386418991654,-0.0553600602042345,1.6779054570786e-06,"PPARG"
1.76631203990197,-0.728468043592587,0.000179061866791226,"CNGA4"
-1.67087876275954,-3.71536628964433,0.0128145451952469,"IQCA1"
-3.92307832870536,-0.439531736727871,0.0272776331611769,"RAMP1"
